population,administered_substance,count
"1623898 / all (n=16; human; healthy; sex: M=12, F=4; age: median 24 year)","codeine",1
"1623898 / all (n=16; human; healthy; sex: M=12, F=4; age: median 24 year)","quinidine",1
"1623898 / all (n=16; human; healthy; sex: M=12, F=4; age: median 24 year)","sparteine sulfate",1
"17541571 / all (n=8; human; healthy; sex: M=8; age: mean 25 year; weight: mean 75.4 kilogram; smoking: N=8)","morphine-6-glucuronide",2
"17541571 / all (n=8; human; healthy; sex: M=8; age: mean 25 year; weight: mean 75.4 kilogram; smoking: N=8)","paracetamol",1
"17541571 / all (n=8; human; healthy; sex: M=8; age: mean 25 year; weight: mean 75.4 kilogram; smoking: N=8)","sulfapyridine",1
"7983238 / all (n=13; human; healthy; sex: M=13; age: mean 36.5 year; smoking: N=13)","codeine",1
"7983238 / all (n=13; human; healthy; sex: M=13; age: mean 36.5 year; smoking: N=13)","codeine phosphate",2
"PKDB00012 / all (n=6; human; healthy; sex: M=3, F=3; age: mean 21 year; weight: mean 63 kilogram; smoking: N=6)","caffeine (137X)",1
"PKDB00019 / all (n=7; human; healthy; sex: M=6, F=1; age: mean 50 year; weight: mean 82 kilogram; smoking: N=7)","caffeine (137X)",1
"PKDB00019 / all (n=7; human; healthy; sex: M=6, F=1; age: mean 50 year; weight: mean 82 kilogram; smoking: N=7)","fluvoxamine",4
"PKDB00021 / chronic_pain (n=5; human; not healthy; sex: M=5; age: mean 55 year; weight: mean 60 kilogram; ethnicity: Japanese)","paracetamol",3
"PKDB00021 / volunteers (n=5; human; healthy; sex: M=1, F=4; ethnicity: Japanese)","paracetamol",1
"PKDB00022 / all (n=10; human; healthy; sex: M=10)","paracetamol",2
"PKDB00024 / all (n=10; human; healthy; sex: M=6, F=4; age: 21–32 year; weight: median 68 kilogram; smoking: N=10)","antipyrine",1
"PKDB00024 / all (n=10; human; healthy; sex: M=6, F=4; age: 21–32 year; weight: median 68 kilogram; smoking: N=10)","paracetamol",1
"PKDB00024 / all (n=10; human; healthy; sex: M=6, F=4; age: 21–32 year; weight: median 68 kilogram; smoking: N=10)","propanolol",1
"PKDB00033 / all (n=12; human; healthy; sex: M=4, F=8; age: mean 33.7 year; weight: mean 68 kilogram; smoking: N=6, Y=6)","caffeine (137X)",1
"PKDB00033 / all (n=12; human; healthy; sex: M=4, F=8; age: mean 33.7 year; weight: mean 68 kilogram; smoking: N=6, Y=6)","grapefruit juice",1
"PKDB00033 / nonsmokers (n=6; human; healthy; sex: M=2, F=4; age: mean 32.83 year; weight: mean 68.5 kilogram; smoking: N=6)","caffeine (137X)",1
"PKDB00033 / smokers (n=6; human; healthy; sex: M=2, F=4; age: mean 34.5 year; weight: mean 67.5 kilogram; smoking: Y=6)","caffeine (137X)",1
