pmcid,pmid,raw_sid,pkdb_sid,study_name,title,raw_data_path,paperclip_document_path,annotation_path
PMC2792562,20046786,PKDB00293,PKDB00293,Khan2008,A simplified HPLC method for quantification of torsemide from human plasma and its application to a bioequivalence study.,pkdb/PKDB00293/study.json,/papers/PMC2792562/content.lines,PMC2792562/annotation.json
PMC3043256,20512335,PKDB00249,PKDB00249,Erp2011,Marginal increase of sunitinib exposure by grapefruit juice.,pkdb/PKDB00249/study.json,/papers/PMC3043256/content.lines,PMC3043256/annotation.json
PMC3928318,24517114,24517114,,Berg2014,"A randomized, double-blind, placebo-controlled, multiple-dose, parallel-group clinical trial to assess the effects of teduglutide on gastric emptying of liquids in healthy subjects.",pmid/24517114/study.json,/papers/PMC3928318/content.lines,PMC3928318/annotation.json
PMC4411542,25922805,PKDB00086,PKDB00086,Yang2015,The Insulin Resistance but Not the Insulin Secretion Parameters Have Changed in the Korean Population during the Last Decade.,pkdb/PKDB00086/study.json,/papers/PMC4411542/content.lines,PMC4411542/annotation.json
PMC4898153,27100333,PKDB00339,PKDB00339,White2016,Pharmacokinetic analysis and comparison of caffeine administered rapidly or slowly in coffee chilled or hot versus chilled energy drink in healthy young adults.,pkdb/PKDB00339/study.json,/papers/PMC4898153/content.lines,PMC4898153/annotation.json
PMC5297975,27273149,PKDB00494,PKDB00494,Yamazaki2016,"Pharmacokinetic Effects of Isavuconazole Coadministration With the Cytochrome P450 Enzyme Substrates Bupropion, Repaglinide, Caffeine, Dextromethorphan, and Methadone in Healthy Subjects.",pkdb/PKDB00494/study.json,/papers/PMC5297975/content.lines,PMC5297975/annotation.json
PMC5324621,27863442,PKDB00504,PKDB00504,Kagawa2017,Loss of organic anion transporting polypeptide 1B3 function causes marked delay in indocyanine green clearance without any clinical symptoms.,pkdb/PKDB00504/study.json,/papers/PMC5324621/content.lines,PMC5324621/annotation.json
PMC5394143,28155129,PKDB00428,PKDB00428,Armani2017,Drug Interaction Potential of Osilodrostat (LCI699) Based on Its Effect on the Pharmacokinetics of Probe Drugs of Cytochrome P450 Enzymes in Healthy Adults.,pkdb/PKDB00428/study.json,/papers/PMC5394143/content.lines,PMC5394143/annotation.json
PMC5411458,28512430,28512430,PKDB00577,Chen2017,"CYP2D6 Phenotyping Using Urine, Plasma, and Saliva Metabolic Ratios to Assess the Impact of CYP2D6∗10 on Interindividual Variation in a Chinese Population",pmid/28512430/study.json,/papers/PMC5411458/content.lines,PMC5411458/annotation.json
PMC5599467,28808886,PKDB00496,PKDB00496,Edwards2017,"Assessment of Pharmacokinetic Interactions Between Obeticholic Acid and Caffeine, Midazolam, Warfarin, Dextromethorphan, Omeprazole, Rosuvastatin, and Digoxin in Phase 1 Studies in Healthy Subjects.",pkdb/PKDB00496/study.json,/papers/PMC5599467/content.lines,PMC5599467/annotation.json
PMC5761050,29403866,29403866,,Partani2013,Simultaneous quantitation of atorvastatin and its two active metabolites in human plasma by liquid chromatography/(-) electrospray tandem mass spectrometry.,pmid/29403866/study.json,/papers/PMC5761050/content.lines,PMC5761050/annotation.json
PMC5762444,29403968,PKDB00275,PKDB00275,Zhang2016,Determination of torasemide in human plasma and its bioequivalence study by high-performance liquid chromatography with electrospray ionization tandem mass spectrometry.,pkdb/PKDB00275/study.json,/papers/PMC5762444/content.lines,PMC5762444/annotation.json
PMC5854751,28929443,PKDB00471,PKDB00471,Lammers2018,Short-Term Fasting Alters Pharmacokinetics of Cytochrome P450 Probe Drugs: Does Protein Binding Play a Role?,pkdb/PKDB00471/study.json,/papers/PMC5854751/content.lines,PMC5854751/annotation.json
PMC6343132,30729119,PKDB00353,PKDB00353,Kim2019,Effect of Cilostazol on the Pharmacokinetics of Simvastatin in Healthy Subjects.,pkdb/PKDB00353/study.json,/papers/PMC6343132/content.lines,PMC6343132/annotation.json
PMC6777419,31611799,PKDB00308,PKDB00308,Dyk2019,Validation of a 3-h Sampling Interval to Assess Variability in Cytochrome P450 3A Phenotype and the Impact of Induction and Mechanism-Based Inhibition Using Midazolam as a Probe Substrate.,pkdb/PKDB00308/study.json,/papers/PMC6777419/content.lines,PMC6777419/annotation.json
PMC6822839,31278694,Kinzler2019,,Kinzler2019,"A Randomized, Crossover Study on the Effect of Food on the Pharmacokinetic Characteristics of Morphine ARER (MorphaBond™ ER), an Abuse-Deterrent Formulation of Extended-Release Morphine.",legacy/Kinzler2019/study.json,/papers/PMC6822839/content.lines,PMC6822839/annotation.json
PMC7067795,32165665,32165665,,Malfatti2020,Manipulation of the Gut Microbiome Alters Acetaminophen Biodisposition in Mice.,pmid/32165665/study.json,/papers/PMC7067795/content.lines,PMC7067795/annotation.json
