sid,pmid,pmcid
PKDB00954,8960852,
PKDB00955,14742789,
PKDB00956,16325295,
PKDB00957,16003298,
PKDB00958,21476064,
PKDB00181,6117393,
PKDB00228,9591931,
PKDB00251,2932334,
PKDB00326,16321619,
PKDB00308,31611799,PMC6777419
PKDB00327,15114429,
PKDB00322,11471773,
PKDB00249,20512335,PMC3043256
PKDB00209,17322140,
PKDB00205,12966371,
PKDB00179,2935051,
PKDB00298,15145968,
PKDB00252,27503364,PMC5299073
PKDB00211,15536460,
PKDB00207,7628179,
PKDB00305,28004396,
PKDB00321,10586386,
PKDB00307,8181191,
PKDB00244,17896891,
PKDB00208,10546919,
PKDB00323,20233179,PMC2824477
PKDB00217,12953340,
PKDB00324,15289787,
PKDB00345,10976543,
PKDB00361,15317833,
PKDB00351,1488408,
PKDB00367,8149872,
PKDB00243,16580903,
PKDB00352,25323804,
PKDB00356,30171779,PMC6256010
PKDB00355,11709322,PMC90851
PKDB00364,15518608,
PKDB00350,9728898,
PKDB00509,19238649,
PKDB00510,19842935,
PKDB00672,17192506,
PKDB00353,30729119,PMC6343132
PKDB00365,11180018,
PKDB00342,9834039,
PKDB00354,11061578,
PKDB00344,15206993,PMC1884539
PKDB00346,14979606,
PKDB00360,10934672,
PKDB00362,10741630,
PKDB00349,12784317,
PKDB00372,9542477,
PKDB00368,17108811,
PKDB00371,1613123,
PKDB00370,11361054,
PKDB00358,11497338,
PKDB00359,11753267,
PKDB00343,18213452,
PKDB00347,14691614,
PKDB00357,12723464,
PKDB00348,11259986,PMC2014440
Wynne1989,2643548,
PKDB00540,10226769,
PKDB00560,18408565,
PKDB00541,1613121,
PKDB00602,12891228,
PKDB00544,17622941,PMC4063287
PKDB00605,16678544,
PKDB00647,3096862,
PKDB00545,12811363,
PKDB00547,14748817,PMC1884432
PKDB00548,16678545,
PKDB00604,21851379,PMC3269589
PKDB00550,15226675,
PKDB00551,17047488,
PKDB00554,12811365,
PKDB00543,2125605,
PKDB00552,8219432,
PKDB00559,10709162,
PKDB00606,2114543,
PKDB00546,9625267,
PKDB00553,2106337,PMC1380090
PKDB00557,22114872,PMC3403202
PKDB00284,7062953,
PKDB00279,6803820,PMC1401936
PKDB00286,1505149,
PKDB00304,7226707,
PKDB00276,7286038,
PKDB00295,2512694,
PKDB00329,2702793,
PKDB00274,1127104,PMC301753
PKDB00318,11560871,
PKDB00285,21721594,
PKDB00281,18238878,
PKDB00294,762252,
PKDB00273,7438711,
PKDB00303,495118,
PKDB00317,42427,PMC1429902
PKDB00314,7955810,
PKDB00282,32219697,
PKDB00283,31965188,
Allegrini2009,19813461,
PKDB00676,2987705,
PKDB00658,2474102,
17986525,17986525,
PKDB00678,7514239,
Hemann2021,33773093,
Lu2006,16181761,
2992562,2992562,PMC1400639
PKDB00656,3034031,
Schunkert1989,2474104,
PKDB00657,2485051,
PKDB00655,6097458,
PKDB00682,2418304,
Gaudino1948,18884269,
Gyselynck1971,5126251,
Myers1980,6164815,
Odeh1993,8477557,
Schwartz1949,16695783,PMC439668
PKDB01078,31089971,
PKDB01079,10594869,
PKDB01006,16623021,
PKDB01080,17192769,
PKDB01070,36416673,PMC9683076
PKDB00089,10997932,
7983238,7983238,
PKDB00090,8819499,
10381807,10381807,
2902373,2902373,
2584298,2584298,
Chen1989ThesisChapter4,,
PKDB00091,2049245,PMC1368322
3358767,3358767,
PKDB00204,1782973,
9696456,9696456,
3741728,3741728,PMC1401076
3437070,3437070,
3335120,3335120,
PKDB00092,9403287,
PKDB00094,12194925,
PKDB00095,16819548,
PKDB00096,11550826,
PKDB00097,8934303,
9725479,9725479,
PKDB00098,19156643,
PKDB00100,9129563,
PKDB00102,8227477,
PKDB00103,19940985,
28063968,28063968,
9010701,9010701,
9728895,9728895,
7094509,7094509,
PKDB00105,2401756,
1623898,1623898,
PKDB00107,8706777,
PKDB00108,1804656,
8823235,8823235,
PKDB00109,1391681,
PKDB00110,23507688,
PKDB00111,24077935,
PKDB00113,2611086,PMC1380034
PKDB00112,2611085,PMC1380033
PKDB00114,1867958,PMC1368573
