raw_sid,namespace,pkdb_sid,study_name,pmid,pmcid,doi,title,raw_data_path,paperclip_available,paperclip_text_availability,paperclip_id,paperclip_source,paperclip_document_path,paperclip_url,match_method,match_note
PKDB00038,pkdb,PKDB00038,Harder1988,2853056,,,4-quinolones inhibit biotransformation of caffeine.,pkdb/PKDB00038/study.json,no,none,,,,,,no_exact_match
PKDB00226,pkdb,PKDB00226,Liedtke1979,583229,,,[Comparative pharmacokinetics of paracetamol in humans following single oral and rectal administration (author's transl)].,pkdb/PKDB00226/study.json,no,none,,,,,,no_exact_match
PKDB00396,pkdb,PKDB00396,Grundmann1992,1482735,,,"[Effect of the volatile anesthetics halothane, enflurane and isoflurane on liver circulation in the human].",pkdb/PKDB00396/study.json,no,none,,,,,,no_exact_match
PKDB00477,pkdb,PKDB00477,Nakazawa1988,3241301,,,[Pharmacokinetics of caffeine and dimethylxanthines in plasma and saliva].,pkdb/PKDB00477/study.json,yes,abstract_only,oa_W2400844322,abstracts,,https://doi.org/10.1248/yakushi1947.108.7_653,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00500,pkdb,PKDB00500,Walther1983,6657740,,,"[Significance of caffeine values in serum, saliva and urine--determination of pharmacokinetic data by non-invasive methods in psychopharmacologic studies].",pkdb/PKDB00500/study.json,no,none,,,,,,no_exact_match
PKDB00291,pkdb,PKDB00291,Barbanoj2008a,19673928,,,A bioavailability/bioequivalence and pharmacokinetic study of two oral doses of torasemide (5 and 10 mg): prolonged-release versus the conventional formulation.,pkdb/PKDB00291/study.json,yes,abstract_only,oa_W2088784133,abstracts,,https://doi.org/10.1111/j.1440-1681.2008.05089.x,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00160,pkdb,PKDB00160,Adithan1982,7104162,PMC1427583,,A comparative study of saliva and serum paracetamol levels using a simple spectrophotometric method.,pkdb/PKDB00160/study.json,yes,abstract_only,oa_W2066366410,abstracts,,https://doi.org/10.1111/j.1365-2125.1982.tb04944.x,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00114,pkdb,PKDB00114,Yue1991,1867958,PMC1368573,,A comparison of the pharmacokinetics of codeine and its metabolites in healthy Chinese and Caucasian extensive hydroxylators of debrisoquine.,pkdb/PKDB00114/study.json,yes,abstract_only,oa_W1991936208,abstracts,,https://doi.org/10.1111/j.1365-2125.1991.tb05586.x,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00216,pkdb,PKDB00216,Grattan2000,10799813,,,A five way crossover human volunteer study to compare the pharmacokinetics of paracetamol following oral administration of two commercially available paracetamol tablets and three development tablets containing paracetamol in combination with sodium bicarbonate or calcium carbonate.,pkdb/PKDB00216/study.json,no,none,,,,,,no_exact_match
PKDB00043,pkdb,PKDB00043,Jeppesen1996,8807660,,,A fluvoxamine-caffeine interaction study.,pkdb/PKDB00043/study.json,yes,abstract_only,oa_W2046107045,abstracts,,https://doi.org/10.1097/00008571-199606000-00003,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00035,pkdb,PKDB00035,Ghassabian2009,19307938,,,A high-throughput assay using liquid chromatography-tandem mass spectrometry for simultaneous in vivo phenotyping of 5 major cytochrome p450 enzymes in patients.,pkdb/PKDB00035/study.json,yes,abstract_only,oa_W2007873007,abstracts,,https://doi.org/10.1097/ftd.0b013e318197e1bf,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00172,pkdb,PKDB00172,Cummings1967,6032053,,,A kinetic study of drug elimination: the excretion of paracetamol and its metabolites in man.,pkdb/PKDB00172/study.json,no,none,,,,,,no_exact_match
PKDB00295,pkdb,PKDB00295,Greenblatt1989,2512694,,,A large-sample study of diazepam pharmacokinetics.,pkdb/PKDB00295/study.json,yes,abstract_only,oa_W2078822552,abstracts,,https://doi.org/10.1097/00007691-198911000-00007,title_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00142,pkdb,PKDB00142,Souliman2006,16169713,,,A level A in vitro/in vivo correlation in fasted and fed states using different methods: applied to solid immediate release oral dosage form.,pkdb/PKDB00142/study.json,no,none,,,,,,no_exact_match
4856884,pmid,,Sherwin1974,4856884,PMC302637,10.1172/JCI107697,A model of the kinetics of insulin in man.,pmid/4856884/study.json,yes,abstract_only,oa_W1969759774,abstracts,,https://doi.org/10.1172/jci107697,doi_exact,Abstract corpus record; no Paperclip full-text document path.
PKDB00260,pkdb,PKDB00260,RostamiHodjegan2002,12098841,,,A new rapidly absorbed paracetamol tablet containing sodium bicarbonate. I. A four-way crossover study to compare the concentration-time profile of paracetamol from the new paracetamol/sodium bicarbonate tablet and a conventional paracetamol tablet in fed and fasted volunteers.,pkdb/PKDB00260/study.json,yes,abstract_only,oa_W2159681899,abstracts,,https://doi.org/10.1081/ddc-120003448,title_exact,Abstract corpus record; no Paperclip full-text document path.
