pmid	pmcid
10022751	
10022755	
10073515	
10096261	
10101295	
10190398	
10190648	PMC2014166
10206083	
10208643	
10223777	
10233211	PMC2014233
10334805	
10340921	
10340923	
10411572	
10434486	
10448083	
10471060	
10471063	
10509530	
10511062	
10511065	
10544257	
10579481	
10583026	PMC2014382
10594793	
10626755	
10636265	
10639689	
10653220	
10671908	PMC2014902
10683861	
10710136	
10716719	PMC16264
10774635	
10824636	
10831022	
10850391	
10880412	
10901705	
10942177	
10961881	
10975602	
10999835	
11007831	
11027924	
11041319	
11046127	
11069321	
11127854	
11186138	
11207001	
11208681	
11222464	
11240974	
11240980	
11270921	
11278503	
11311507	
11318841	
1136859	
11380317	
11434512	
11446878	
11452243	
11470994	
11474773	
11505219	
11543734	
11552922	
11557918	
11560558	PMC2014539
11593098	
11595402	
11668219	
11672906	
11682257	
11697464	
11741249	PMC2751283
11753271	
11753272	
11756990	
11779172	
11785712	
11791895	
11791898	
11802100	
11812719	
11817517	
11823760	
11823761	
11829201	
11849656	
11875364	
11907712	
11910301	
11913730	
11926893	
11929404	
11933204	
11936707	
11953843	PMC2364178
11954942	
11966680	PMC1874262
11990381	
12010835	
12012142	
12042667	
12042669	
12057029	
12065207	
12065557	
12082589	
12095536	
12107620	
12121503	
12123234	
12142782	
12152005	
12152006	
12185559	
12189368	
12190096	
12191703	
12202670	
12325023	
123467	
12356937	
12359989	
12360109	
12374640	
12386647	
12392308	
12414349	
12419790	
12421483	
12422998	
12425480	
12436350	PMC2896566
12439227	
12445030	PMC1874463
12451290	
12476327	
12477776	PMC1773505
12485958	
12496751	
12507820	
12544511	
12544691	
12545140	
12563174	
12576843	
12651805	
12656699	
12662378	
12663600	
12668920	
12694072	
12695469	PMC1767618
12728290	
12732846	
12746736	
12759288	PMC1754569
12784098	
12809821	
12811365	
12811367	
12814461	PMC1884261
12832683	PMC1746721
12844134	
12844135	
12844136	
12844137	
12847678	
12848631	
12873589	
12891229	
12893983	
12893985	
12895196	PMC1884285
12919180	PMC1884346
12919186	PMC1884342
12920202	
12921807	
12955294	
12960748	
12966368	
12969965	
1396201	
14499311	
14515060	
1451721	
14520122	
14521618	
14534524	
14534525	
14553962	
14570538	
14578760	
14583680	
14586389	
14624186	
14624403	
14625131	
14638340	
14646691	
14652237	
14652703	
14653835	
14653957	
14659971	
14676821	
14687173	
14695703	
14700505	
14729419	
14747421	
14765194	
15001971	
15007088	
1505152	
15052272	
15057902	
15073101	
15083067	
15089809	PMC1884506
15094935	
15116053	
15118073	
15121303	
15122075	
15128047	
15128048	
15136504	
15148588	
15149890	
15167702	
15179405	
15179414	
15180166	
15188945	PMC6654446
15197523	
15203796	
15205367	
15226090	
15226679	
15233837	
